sample_id,reference,hypothesis,wer,cer
2,"Mlijaa nɛɛ gbeleɔ blawa he nilee, jebɔ kɛ gbee ni yɔɔ blawai amli hiɛ etsɔɔ.",melee ajaa nɛɛ beliɔ blawai heneleee jɛ bɔɔ kɛgbee ni yɔɔ blawai amlihiɛ etsɔɔ,0.7333,0.1833
13,Blawa ji wiemɔkuli mlijaa ko ni abaanyɛ atsɛ ni shishinumɔ fioo ko kɛ yɛ mli.,naa wa ji wuemɔ kuli lijaa ko ni abaanyɛ atsɛ ni shishinumɔ fioo kokɛ yɛ li,0.5333,0.0806
14,Kɔnsonanti blawa ji kɔnsonanti ni nyɛɔ damɔɔ shi ekome akɛ blawa.,kɔsonantei blawa di konsonante ni nyiɛɔrda mɔ shi kome akɛ blawa,0.5455,0.1667
20,Hewɔ lɛ Kofi hiɛ blawai enyɔ.,le kofi ye blawoe eny,0.8333,0.4783
36,Eyeɔ ebuaa kaselɔi kɛsɔɔ wiemɔ hee.,e abuaa kaselɔi kɛ sɔwimɔ hei,0.8333,0.2414
37,Eyeɔ ebuaa kaselɔi kɛyɔseɔ blawakulibii ni yɔɔ wiemɔkuli ko mli.,yia bua kasilae ke yɔɔ siɔ blawakulibii ni yeɔ wuiemɔ kuli ko mli,0.9,0.2407
38,Eyeɔ ebuaa wiemɔi ashishinumɔ yɛ wiemɔ pɔtɛɛ ko mli.,eyɔɔ ebuawiemɔi ashishinumɔ yɛ wiemɔ ɔpɔtɛɛ ko li,0.5556,0.093
39,Nibii ni baa nɛɛ tsɔɔ bɔ ni ajara wiemɔkulibii amli awo amɛblawai amli aha.,nebiini ba anɛ tsɔ bɔ ni ajara yo mɔ kulibii amle awu ameblawai amle aha,0.8571,0.1639
41,"Yɛ nɔkwɛmɔ nibii nɛɛ amli lɛ, eko fɛɛ eko yeɔ emuu akɛ blawa.",yɛ nɔkwɛmɔ nibii nɛɛ amle lɛ ekoo fɛɛ ekw yɔɔ emuoŋ akɛ blaa,0.4615,0.1489
44,Ghana wiemɔi srɔtoi lɛ yɛ amɛblawa henɔi srɔtoi.,ghana wimɔ srɔtoi lɛ yɛ amɛblawa henɔi srɔtoi,0.125,0.05
53,Kɔnsonanti naagbee ji blawai ni kɔnsonanti gbeɔ naa.,konsonanti naagbee ji blawai ni konsonante gbeɔ naa,0.25,0.0682
57,Atsɛɔ amɛ akɛ gugɔjiaŋ kɔnsonantii hu.,woe k o ma nkɔntonante yi ho,1.1667,0.6562
67,"Yɛ bo diɛŋtsɛ owiemɔi amli lɛ, tsɔɔmɔ nɔ ni ji blawa.",yɛbo diɛŋtsɛ owiemɔi amle lɛ sɔɔmɔ nɔ ni je blawa,0.4545,0.0732
69,Gbalamɔ blawa henɔi ni yɔɔ owiemɔ lɛ mli lɛ otsɔɔ.,naemɔbiawaahi nɔi ni yɔɔ owiemɔ lɛŋ nlii lɛ otsɔɔ,0.5,0.25
70,Gbalamɔ sɛɛnamɔi ni yɔɔ blawa jebɔi kɛ wiemɔtsɛrɛmɔ mli otsɔɔ.,balamɔ sɛɛnamɔi ni yɔɔ blawa jebɔi kɛwiɔmɔtsɛremɔ mli otsɔ,0.4,0.0769
71,Srɔtoi yɛ blawa jebɔi amli yɛ wiemɔi srɔtoi lɛ mli.,oseade yɛ blawa jebɔi amli yɛ wiemɔe srɔtɛi lem li,0.5,0.2195
74,Vaolii ji hiamɔ nibii ni yɔɔ blawai amli.,your y yorbla w,1.0,0.8182
87,Kɛji l kɛ r nyiɛ kɔnsonanti ko sɛɛ tuntu.,kɛji lɛ kɛɛ renyiɛ konsonante kosɛɛ tuntum,0.8889,0.1875
90,Nyɛsusua blawa jebɔi yɛ Ga wiemɔ lɛ mli ahe.,yesu su abla wadze bɔai yeda wie mɔ le eli ahe,1.1111,0.2571
91,Okɛ klasi lɛ agba ohetoo lɛ he sane.,okɛ klasi le agbaohetoo lɛ he sane,0.375,0.0357
