sample_id,reference,hypothesis,wer,cer
7,"Ngyɛnu ɛhye buke ɛnelɛkpɔkɛ, ɛnelɛkpɔkɛ ngyehyɛleɛ nee ɛnelɛ ɛzukoalɛdeɛ ne anye.",ngyɛnu ɛhye buke ɛnee kpokɛ ɛnee kpokɛ ngyehyɛleɛ nee ezukoalɛdeɛ ne anye,0.5455,0.1594
16,Ɛnelɛkpɔkɛ a le edwɛkɛkpɔkɛ foa ne mɔɔ yɛbɔ a ɔyɛ boɛ la.,ɛnee kpɔkɛ a le edwɛkɛkpɔkɛ foa ne mɔɔ yeboa ɔyeboɛ la,0.5,0.1111
17,Kɔnsɔnante ɛnelɛkpɔkɛ a le kɔnsɔnante mɔɔ ɔda ye subane ali kɛ ɛnelɛkpɔkɛ la.,kɔnsonante ɛnee kpɔkɛ a le kɔnsonante mɔɔ ɔda ye subane ali kɛ ɛnee kpɔkɛ la,0.4615,0.0938
20,Ɛnelɛkpɔkɛ a le ɛdendɛlɛ foa ne bie mɔɔ lɛ vawolo la.,menginginginging,1.0,0.9048
27,"Yemɔti, duma Kofi lɛ ɛnelɛkpɔkɛ nwiɔ.",yemɔti duma kofili ɛnee kpɔkɛ nwyɔnwo,0.6667,0.2333
30,Ɛhye kile kɛ ɔlɛ ɛnelɛkpɔkɛ ko.,ɛhye kile kɛ ɔleɛ ne kpɔkɛ ko,0.5,0.12
40,"Edwɛkɛkpɔkɛ kola nyia ɛnelɛkpɔkɛ ko, nwiɔ anzɛɛ dɔɔnwo.",edwɛkɛ kpɔkɛ kolaa nyia ɛnle kpɔkɛ ko nwiɔ anzɛɛ dɔɔnwo,0.625,0.0652
46,Ɔboa ɔmaa sukoavoma nyia edwɛkɛmgbɔkɛ fofolɛ mɔɔ le fɔɔnwo la.,ɔboa ɔmaa sukuavoma nyia edwɛkɛ mgboke fofolɛ mɔɔ le foɔnwo la,0.4,0.0769
47,Ɔboa ɔmaa sukoavoma ne nwu aneɛ ne anu edwɛkɛmgbɔkɛ ne mɔ.,ɔboa ɔma sukua voma ne nwu aneɛ ne anu edwɛkɛ mgbokɛ ne mmɔ,0.5455,0.0851
55,Gana aneɛ ko biala lɛ ɛnelɛmgbɔkɛ ngakyile.,ghana ane ko biala le ɛnee mgbɔkɛ ngakyile,0.7143,0.1389
58,Ɛnelɛkpɔkɛ mɔɔ ɔbuke la a le mɔɔ vawolo dwula ye la.,ɛnee kpokɛ mɔɔ buke la a le mɔɔ vawolo dwula ye la ɛnee kpokɛ mɔɔ buke la a le mɔɔ vawolo dwula ye la,1.3636,0.9756
63,Ɛhye a le ɛnelɛkpɔkɛ mɔɔ kɔnsɔnante a dwula ye la.,ɛhye a le ɛnelekpɔkɛ mɔɔ kosonantea dwula ye la,0.3,0.1
