sample_id,reference,hypothesis,wer,cer
13,Vo’osum de la yelebire bɔberԑ n ta’am yi’ira.,osum de la yelebire bɔbere n tari an yiire,0.625,0.2059
14,Kɔnya’aŋa vo’osum de la kɔnya’ansԑka n ani wuu kaŋa n tari vo’osum la.,onya ŋa vo osum de la kɔnya anseka n nani wuu kaŋa n tare vo osum la,0.7692,0.1132
17,Kɔnya’aŋa vo’osum me ta’am dԑna vo’osum.,o nyaaŋa voo sum mɛ ta'am de hona voo sum,1.5,0.2
20,Yelebire ta’am tara vo’osum buyima bii buyi bii vo’osum duma zo’e zo’e.,yelebele taam tara vo'osum buyima bii buyi bii vo'osum duma zo'e zo'e,0.0833,0.037
36,"Yelesi’a n boi zuon la, yelebire woo de la vo’osum yiŋɔ.",yɛleseya n bo i zoone la yɛlebere woo de la vo'osum yiŋɔ,0.4545,0.1667
40,Vo’osum buuri buuri duma la ta’am bɔna yima yima basԑba tɔgum puan.,busum buuri buuri duma la ta am bɔna yima yima basegeba tɔgem puan,0.4167,0.1321
53,Dikԑ fumiŋa yelebԑa gãresԑ pa’alԑ vo’osum n de sԑla.,fumiŋa yelebia garesi yu paa lee vɔ'ɔsum n de siela,0.8889,0.3659
56,Gãresԑ pa’alԑ Gurenԑ vo’osum buuri buuri duma la.,ŋaa lese gura ni fu bundaboore luma la,0.875,0.6154
57,Gãresԑ pa’alԑ vo’osum naanԑ la nimmu’urԑ yԑla n de si’a yelebԑa naaŋɔ puan.,naresi paalinsi vuusum naani la ni mu'urisi yila n de si'a yelebia naaŋa poan,0.7692,0.3103
58,Dikԑ fu lebesego la sɔ̃sԑ pa’alԑ fu tadaana.,fu lebesogo la sɔsɩ̃ɛ paalɩ fu ta daana,0.75,0.2353
69,Sɔ̃sԑ pa’alԑ vo’osum naanԑ Gurenԑ puan.,bali linforce sum naani gorani puan,0.8333,0.5333
77,Asunwa’atԑ la Asanvuuŋa yuum de la zɔduma.,a sum wa'a tu bile a sanvoŋa yoom de la zɔduma,1.1429,0.2647
82,Gee ti Asunwa’atԑ me vibera la kom a yire.,yeti asua ti mumvumbire la kum a yire,0.6667,0.4062
119,Aduŋɔ pire la báŋá gee Adumbila n ku bàŋà la.,a duŋɔ pirɛ la baŋa gee a dum bila n ku baŋa la,0.6,0.0286
120,Lɔgerɔ la zo’e gáŋԑ́ mԑ gee Ataŋa gàŋԑ̀ la kuyina loe.,lɔgerɔ la zo'e gaaŋɛ si mɛ him ge a taŋa gaaŋɛ him la ku yina loi,1.0909,0.375
121,Adumbiire nyԑ́ la buŋa zɔta ti Asakebɔba la ta nyԑ̀ bino lirum amiŋa.,a dumbieri nyi la buŋa zɔta ti a sakɛ bɔba la ta nyii bino lerum a miŋa,0.7692,0.1296
142,La wan pa’alԑ ya nimmu’urԑ kãalegɔ la akãalԑ zo’e n de sԑla.,la wan paa len ya ni mu wuu le kaalegɔɔ la a kaalen zoe n de seke la,0.9167,0.3111
159,Yɛla asi’a n ni tε’εla ti la niira sↄsega la puan.,yela a sia n ni teela ti la niira sisega la puan,0.4545,0.1081
175,Fu me ni kelum ԑԑra la yelebizura kãalegɔ la puan.,fuume ni kelum iridaa la yelebizura kaalegɔ la puan,0.4,0.175
