sample_id,reference,hypothesis,wer,cer
13,Pɛlɔku pɛmingu ji pɛlɔku nɛ tsuɔ ni kaa pɛmingu (Enɛ ɔ eko be Dangme mi).,pe loku pe mi ngo ji pe loku nɛ tsɔɔ ni kaa pe mi ngo. E nɛ ɔ e ko be da ngmɛ mi.”,1.1333,0.1786
20,Pɛlɔ pɛ hu ma nyɛ da si kaa pɛmingu.,Pɛlɔpe hu ma nyɛnda a sika a pɛmi gu.”,0.8889,0.1481
33,Pɛlɔ pɛ ma nyɛ da si kaa pɛmingu nɛ pɛlɔku kɛ pɛlɔ ma nyɛ da si kaa pɛmingu.,"Pɛlɔ pɛɛ manyɛ, da sika a pɛmi mo, nɛ pɛlɔ ko kɛ pɛlɔ manyɛ, da sika a pɛmi mo.",0.8333,0.1379
44,E yeɔ buaa ni kaseli nɛ a nyɛɔ peeɔ munyunguhi nɛ da ngɛ a dɛhe.,"Libateria nɛ a di kaseli nɛ a nyɛɛ ɔ pee ɔ mo yungo he, nɛ da ngɛ a dɛe.",0.8,0.3469
45,E yeɔ buaa ni kaseli nɛ a leɔ gbi ɔ si fɔfɔɛ kɛ e lomi bɔ.,I yeɔ buaa ni kaseli nɛ a leɔ gbi ɔ si fɔfɔɛkɛ. E lo mi bɔ.,0.3125,0.0238
46,E yeɔ buaa ni kaseli nɛ a nuɔ munyunguhi a sisi.,"I hiɔ buá ní, kaseli nɛ a nuɔ munyunguhi a sisi.”",0.3636,0.1622
50,"Ngɛ nɔhyɛ munyungu nɛ ɔmɛ a tsɛmi mi ɔ, pɛminguhi jeɔ a he kpo.","Nɔ ɔ si munyu ngu nɛ ɔmɛ a tsɛ mi mi ɔ, pɛ ngɔ nguhi je ɔ a he kpo.",0.8571,0.1875
58,"Ngɛ nɔhyɛ ni nɛ wa ha amɛ a mi ɔ, o ma yo kaa pɛmingu ɔmɛ hɛɛ pɛlɔkuhi ngɛ a nyagbe.","Nɔ sɛ ní nɛ wa ha amɛ a mi ɔ, o maa yoka a pɛmɛ ngu ɔmɛ hɛɛ pɛlɔkuahi ngɛ a nyagbe.",0.4286,0.1452
60,Ngɔɔ mo nitsɛ o munyuhi kɛ kale nɔ nɛ pɛmingu ji.,Ngɔmu mitsɛ o munyuhi kɛ kali nɔ́ nɛ pɛ mi gu ji.,0.6364,0.1316
61,Moo tsɔɔ pɛmingu slɔɔtohi nɛ ngɛ Dangme mi.,Mo tsɔ pɛɛ mgu slɔɔ to he nɛ ngɛ dã gbi mi.,1.125,0.2857
62,Moo tsɔɔ pɛmingu si fɔfɔɛ he se nami ngɛ munyungu peemi mi.,"Moo tsɔ pɛmgu si fɔfɔɛ, he se nami ngɛ munyu ngu peemimi.",0.4167,0.0638
79,Moo sɛsɛ pɛmingu si fɔfɔɛ ngɛ Dangme mi ɔ he.,Mo sɛse pɛmi gu si fɔfɔɛ ngɛ da ngmɛ mi ɔ he.,0.6,0.1143
85,Tukpɛtukpɛ kɛ Tatu ji huɛmɛ.,,1.0,1.0
91,Tatu sɛɔ e tsu nɛ e bua niye ni nya wo mi ɔ mi nɛ e kɛ e bimɛ yeɔ bɔɔbɔɔbɔɔ.,"Tɔti si ɔ, e tsui, nɛ e buɛ niye ní. Nyawumi ɔ mi nɛ e kɛ e bimɛ yeɔ bɔbɔɔbɔ.",0.4762,0.1636
107,Gana gbihi tsuo tsuɔ gbimikɔmi he ni.,"Gana gbi hi tsuo, sɛɔ, gbiimi kɔmi he ní.",0.8571,0.1333
117,"Dangme, Dagbaani kɛ gbi kpa komɛ lɛɛ a ngɛ sisi, kpɛti kɛ hiɔwe gbimikɔmi.",Dangmɛ! Dagbaa ni kɛ gbi kpa komɛ lɛɛ a ngɛ sisi. Kpɛti kɛ hiɔ we gbi mi kɔmi.,0.5714,0.0172
118,Kane munyuza nɛ nyɛɛ se nɛ ɔmɛ nɛ e maa ye bua mo kɛ ha sisi numi.,"kane munyu za nɛ nyɛɛ se nɛ ɔmɛ, nɛ e ma a ye bua mɔkɛɛ ha sisi numi.",0.3529,0.0408
119,Moo tsɔɔ gbimikɔmi nɛ munyungu ‘ma’ hɛɛ ngɛ munyuza etɛ ɔmɛ a mi.,Mo tsɔɔ gbimi kɔmi nɛ munyu ngu. Ma hɛɛ ngɛ munyu za e tɛ ɔmɛ a mi.”,0.6923,0.02
130,Enɛ ɔ tsɔɔ fami kɛ amlɔbe ngɛ animosa glɛ nɔ.,Enɛ ɔ tsɔ fa mi kɛɛ amlɔ be ngɛ e nimosa glɛ nɔ.,0.8,0.0857
132,Enɛ ɔ jeɔ benɛbe juɛmi kpo ngɛ animosa glɛ nɔ.,Enɛ ɔ je ɔ be nɛ be je ngɛ mo kpo ngɛ anɛ Mosa glɛ nɔ.,1.0,0.1389
134,Ngɔɔ mo nitsɛ o munyuhi kɛ kale nɔ nɛ gbimikɔmi ji.,Ngmɔɔ mɔnitsɛ o munyuhi kɛ kale nɔ́ nɛ gbi mi kɔmi ji.,0.5455,0.05
136,Ngɔɔ nɔhyɛ ni nɛ da kɛ tsɔɔ Dangme gbimikɔmi ɔ nya.,Ngɔ Dante Antal. “Hiam be sumuɔ sɛ pa lɛ kpa a kpe tsɛ tindam a sumu si ma na o kaa ngɛ litsɛ na. Sama o wo ma tsɛ tsɛ a tsa a pa lɛ kaokɔtɛ na kpamam. Yɛ tsu kɔ nya o hiam bɛ tsɛ kakpam a tsa a pa mɛ pɔmɛ pɔmɛ pɔmɛ. Kɛ nɛ o wɛ nyɛ!,5.3636,3.55
137,"Ngɛ kuuhi a mi ɔ, nyɛɛ sɛsɛ gbimikɔmi ni tsumi he.","Nyɛɛ kuu hyi a mi ɔ, nyɛɛ sɛsɛ gbe mɛ kɔmi ní tsumi he.",0.6364,0.1579
141,Nyɛɛ nuu nyɛ he enyɔɔnyɔ nɛ nyɛɛ bu munyungu nɛ ɔmɛ tue.,Nyɛɛ nu nyɛ he nyɛ ɔ nyɔ nɛ nyɛ bo munyu ngu nɛ ɔmɛ tue.,0.6667,0.1136
145,De o heto ɔ ngɔ ha nyɛ tsu mi bi ɔmɛ.,de o heto ɔ ngɔ ha nyɛ tsu mi bi ɔmɛ.,0.0,0.0
146,Moo ngma pɛmingu slɔɔtohi ngɛ Dangme mi nɛ o ha nɔhyɛ ni etɛɛtɛ.,"Mohu ngma, pɛmi gu slɔɔtohi ngɛ da ngmɛ mi, nɛ o ha nɔ́ sɛ ní etɛ.",0.6923,0.1961
150,Moo ngɔ nɔhyɛ ni etɛ kɛ tsɔɔ gbimikɔmi ni tsumi ngɛ Dangme mi ɔ nya.,"Mohu ngɔ nɔ́ se ní etɛ kɛ tsɔ ɔ gbemi kɔmi ní, tsumi ngɛ da ngmɛmi ɔ nyapaa.",0.8,0.2264
153,Oti pɔtɛɛ ngɛ demiyo ko mi ɔ ji nɔ he nɛ demiyo ɔ kɔɔ.,Sputi pɔtɛɛ i ngɛ Demio komɛ o ji nɔ he nɛ Demio ɔ kɔɔ.,0.5,0.2
166,A deɔ nihi babauu kɛ kɔɔ munyutso oti ɔ he.,deɔ níhi babauu kɛ kɔɔ munyu tso oti ɔ he.,0.4,0.0606
186,E sa nɛ o hla munyungu oti ɔmɛ.,Isa nɔuu Halamu nyu nggo ɔti ɔmɛ.,0.875,0.3043
191,O ma nyɛ maa to tsui si kɛ kane demiyo ɔ mi ekohu nɛ o nu sisi saminya.,"O ma hyɛ maa tu tsisi kɛ kane demi yo ɔ mi e ko hu, nɛ o nu sisi saminya.",0.5,0.0566
212,Ngɔɔ ni kanemi vii he nile nɛ o na a kɛ kane demiyo nɛ nyɛɛ se nɛ ɔ.,"Ngɔɔ ní kanemivi, he nile, nɛ o na a kɛ kane demi ɔ nɛ nyɛɛ se nɛ ɔ.",0.2778,0.08
