sample_id,reference,hypothesis,wer,cer
2,"Yaɣili ŋɔ piini wuhiri bachjilli, bachijilli biɛhigu ni yee baŋsim.","N yaa bi lee ŋɔ n ni bɔri baka jimli, baka chi jimli piɛɣigu ni, ye bansim!",1.5,0.3929
7,A ni mali baŋsim zaŋ jɛndi yee zaŋ nam Dagbani bachi pala.,Bɛ ni mali bansim zaŋ jɛndi yee zaŋ nam Dagba ni bachi pa la.,0.5,0.0652
10,Bachijilli nyɛla bachi yaɣili di ni ni tooi boli shɛli.,Bachijɛli nyɛla bachiyɛli dini ni tooi boli shɛli.,0.5,0.1111
11,Bachijilli konsɔnanti nyɛla konsɔnanti shɛli din nahiŋgban ŋmani bachijilli.,Bachijili konsonanti nyɛla konsonanti shɛli din naai gbani ŋmani bachijili.,0.6667,0.1045
12,Yee nyɛla kukoli taɣiri shɛli din ni tooi tahi bachi gbunni taɣibu na.,Di yi nyɛla kukoli taari’ shɛli din ni tooi tahi bachi gbunni taabu na.”,0.3077,0.1404
14,Di ni tooi lahi nyɛ yaɣ’ shɛli ti vuhim ni lura bachi bolibu.,di ni tooi lahi nya yaa shɛli ti vuhim ni luri abachi bolibu.,0.3077,0.0638
16,"Dinzuɣu, duni malila bachijila ayi.",Woo! Du ni malilila bachijila ayi!,0.8,0.3103
20,Dimbɔŋɔ tooi niŋdimi di yi niŋ ka vaawuli bi doli konsɔnantinima maa.,Dimbɔŋɔ ti o niŋdi mi di yi niŋ ka a vaawuli bidoli kun sonantinima maa.,0.6667,0.0877
23,Ŋa shɛhira shɛŋa n-do gbunni ŋɔ.,Nashɛhira shɛŋa n-du gbunni ŋɔ.,0.5,0.08
29,Di lahi sɔŋdi ban bɔhindi ka bɛ baŋdi yɛltɔɣa bachinima gbunni.,"Di lahi sɔŋdi bambɔhindi, ka be bandi yɛltɔɣa bachinima gbunni.",0.3636,0.0577
35,Bachi yini kam pirimi n-doli ŋa bachijil’ shɛŋa ŋa ni mali.,Baachi yi ni kam pirimi n-do li ŋa baachi jiri shɛŋa ŋa ni mali.,0.6364,0.087
36,Gahana zuliyanima bachijila balibu waliya.,"Gaahana, suliya nima bachijila balibu waliya",0.6,0.0541
