sample_id,reference,hypothesis,wer,cer
13,Pɛlɔku pɛmingu ji pɛlɔku nɛ tsuɔ ni kaa pɛmingu (Enɛ ɔ eko be Dangme mi).,Pɛ loku pe mi ngu ji pe loku nɛ tsuo ní kaa pe mi ngu. Enɛ ɔ eko be da nguɛ mi.,0.9333,0.1607
20,Pɛlɔ pɛ hu ma nyɛ da si kaa pɛmingu.,Pɛɛ lɔ pe hu ma nyɛ da si kaa pe mi ngu.,0.6667,0.1111
33,Pɛlɔ pɛ ma nyɛ da si kaa pɛmingu nɛ pɛlɔku kɛ pɛlɔ ma nyɛ da si kaa pɛmingu.,Pɛɛ lɔ pe ma nyɛ da si kaa pe mi ngu nɛ pe loku kɛ pɛ lo ma nyɛ da si kaa wii.,0.6111,0.2069
44,E yeɔ buaa ni kaseli nɛ a nyɛɔ peeɔ munyunguhi nɛ da ngɛ a dɛhe.,E yeɔ buaa ni kaseli nɛ a nyɛɔ peeɔ munyunguhi nɛ da ngɛ a de he.,0.1333,0.0204
45,E yeɔ buaa ni kaseli nɛ a leɔ gbi ɔ si fɔfɔɛ kɛ e lomi bɔ.,E yeɔ buaa ni kaseli nɛ a lɛɔ gbe ɔ si fɔfɔɛi kɛ e lomi bo.,0.25,0.0952
46,E yeɔ buaa ni kaseli nɛ a nuɔ munyunguhi a sisi.,E yeɔ buaa ni kaseli nɛ a nuɔ munyunguhi a sisi.,0.0,0.0
50,"Ngɛ nɔhyɛ munyungu nɛ ɔmɛ a tsɛmi mi ɔ, pɛminguhi jeɔ a he kpo.","Ngɛ nɔ hyɛ munyumu nɛ ɔmɛ a tsɛ mi mi ɔ, pe mi nguhi jeɔ a he kpo.",0.5714,0.0625
58,"Ngɛ nɔhyɛ ni nɛ wa ha amɛ a mi ɔ, o ma yo kaa pɛmingu ɔmɛ hɛɛ pɛlɔkuhi ngɛ a nyagbe.","Ngɛ nɔ hyɛ ni nɛ wa haa mɛ a mi ɔ, o ma yo kaa pe mi nguɛ ɔmɛ hɛɛ pe lokuhi ngɛ a nyagbe.",0.4286,0.0645
60,Ngɔɔ mo nitsɛ o munyuhi kɛ kale nɔ nɛ pɛmingu ji.,"Ngɔɔ muɔ nitsɛ ɔ, munyuhi kɛ kale nɔ́ nɛ pɛmi ngu ji.",0.3636,0.0789
61,Moo tsɔɔ pɛmingu slɔɔtohi nɛ ngɛ Dangme mi.,Mɔ tsɔɔ pemi ngu slɔɔtohi nɛ ngɛ da ngmɛ mi.,0.625,0.1143
62,Moo tsɔɔ pɛmingu si fɔfɔɛ he se nami ngɛ munyungu peemi mi.,Mɔɔ tsɔɔ pemi ngɔ si fɔfɔehi se nami ngɛ munyungu peemi mi.,0.4167,0.1277
79,Moo sɛsɛ pɛmingu si fɔfɔɛ ngɛ Dangme mi ɔ he.,mɔɔ sese pemi ngɔ si fɔfɔe da nguɛ mi ɔ he.,0.7,0.3429
85,Tukpɛtukpɛ kɛ Tatu ji huɛmɛ.,Tukpetukukukɛ kɛ ta tu ji hwɔɛmɛ.,0.8,0.3043
91,Tatu sɛɔ e tsu nɛ e bua niye ni nya wo mi ɔ mi nɛ e kɛ e bimɛ yeɔ bɔɔbɔɔbɔɔ.,"Tatu seɔ e tsu nɛ e bua niye ní nya womi ɔ mi, nɛ e kɛ e bimɛ yeɔ bɔbɔbɔ.”",0.2381,0.0909
107,Gana gbihi tsuo tsuɔ gbimikɔmi he ni.,Gana gbihi tsuo tsuo gbi mi komɛ he ní.,0.7143,0.1333
117,"Dangme, Dagbaani kɛ gbi kpa komɛ lɛɛ a ngɛ sisi, kpɛti kɛ hiɔwe gbimikɔmi.","Dangmɛ i dagba ní, kɛ gbi kpa komɛ lɛɛ a ngɛ sisi, kpɛti kɛ hiɔwe gbi mi komɛ.",0.5,0.1034
118,Kane munyuza nɛ nyɛɛ se nɛ ɔmɛ nɛ e maa ye bua mo kɛ ha sisi numi.,kane munyu za nɛ nyɛɛ se nɛ ɔmɛ nɛ e maa ye bua mo kɛ ha sisi numi.,0.1176,0.0
119,Moo tsɔɔ gbimikɔmi nɛ munyungu ‘ma’ hɛɛ ngɛ munyuza etɛ ɔmɛ a mi.,mɔɔ tsɔɔ gbi mi komi nɛ munyu nguma a hɛɛ ngɛ munyu za etɛ ɔmɛ a mi.,0.6923,0.08
130,Enɛ ɔ tsɔɔ fami kɛ amlɔbe ngɛ animosa glɛ nɔ.,Enɛ ɔ tsɔɔ fa mi ke amlɔ be ngɛ a nyɛmusa gle nɔ.,0.8,0.1429
132,Enɛ ɔ jeɔ benɛbe juɛmi kpo ngɛ animosa glɛ nɔ.,Enɛ ɔ jeɔ benɛ be juɛmi kpo ngɛ a ni Mosa gle nɔ.,0.6,0.0278
134,Ngɔɔ mo nitsɛ o munyuhi kɛ kale nɔ nɛ gbimikɔmi ji.,Ngɔɔ mɔ nitsɛ ɔ munyuhi kɛ kale nɔ́ nɛ gbi mi ko mi ji.,0.5455,0.075
136,Ngɔɔ nɔhyɛ ni nɛ da kɛ tsɔɔ Dangme gbimikɔmi ɔ nya.,Ngɔɔ nɔ hyɛ nihi nɛ da kɛ tsɔɔ da ngmɛ gbimi komɛ ɔ nya.,0.6364,0.125
137,"Ngɛ kuuhi a mi ɔ, nyɛɛ sɛsɛ gbimikɔmi ni tsumi he.","Ngɛ kuu hia mi ɔ, nyɛɛ sese gbimi komɛ ní tsumi he.",0.5455,0.1316
141,Nyɛɛ nuu nyɛ he enyɔɔnyɔ nɛ nyɛɛ bu munyungu nɛ ɔmɛ tue.,Nyɛɛ nuu nyɛ he enyɔɔnyɔ nɛ nyɛɛ bu munyungu nɛ ɔmɛ tue.,0.0,0.0
145,De o heto ɔ ngɔ ha nyɛ tsu mi bi ɔmɛ.,"De ɔ heto ɔ, wɔ ha nyɛ tsumi bi ɔmɛ.",0.3636,0.1154
146,Moo ngma pɛmingu slɔɔtohi ngɛ Dangme mi nɛ o ha nɔhyɛ ni etɛɛtɛ.,Mɔ hua pɛmi ngɔ slɔɔtohi ngɛ da ngmɛ mi nɛ ɔ ha nɔ hyɛ ní etɛ.,0.8462,0.2353
150,Moo ngɔ nɔhyɛ ni etɛ kɛ tsɔɔ gbimikɔmi ni tsumi ngɛ Dangme mi ɔ nya.,Mɔɔ ngɔ nɔ hyɛ ni etɛ kɛ tsɔɔ gbi mi komɛ ní tsumi ngɛ da nguɛ mi ɔ nya.,0.6,0.1321
153,Oti pɔtɛɛ ngɛ demiyo ko mi ɔ ji nɔ he nɛ demiyo ɔ kɔɔ.,Oti pɔ tee ngɛ dɛmiyo ko mi ɔ ji nɔ he nɛ dɛmiyo ɔ kɔɔ.”,0.2857,0.1
166,A deɔ nihi babauu kɛ kɔɔ munyutso oti ɔ he.,A deɔ nihi babauu kɛ kɔɔ munyu tso oti ɔ he.,0.2,0.0
186,E sa nɛ o hla munyungu oti ɔmɛ.,E sanɛ ɔ hla munyu nguu oti ɔmɛ.,0.625,0.087
191,O ma nyɛ maa to tsui si kɛ kane demiyo ɔ mi ekohu nɛ o nu sisi saminya.,"O ma nyɛ maa tɔ tsui si kɛɛ kane demi yo ɔ mi, ekohu nɛ ɔ nu sisi saminya.",0.2778,0.0566
212,Ngɔɔ ni kanemi vii he nile nɛ o na a kɛ kane demiyo nɛ nyɛɛ se nɛ ɔ.,Ngɔɔ ní kane mi vii he nile nɛ ɔ naa kɛ kane dɛmiyɔ nɛ nyɛɛ se nɛ ɔ.,0.3889,0.08
213,Jije oslɔɔke ngua nɛ ɔ je?,Jije o slɔɔ kɛ nguaa nɛ o je.,0.8333,0.15
214,Mɛnɔ nɛ ha e ku pue kpo kikɛ nɛ ɔ?,Mɛ nɔ nɛ ha e ku po e kpo kikɛ nɛ ɔ?”,0.4,0.0417
215,Obo we tso ngua a ku.,O bɔ we tso nguaa ku.,0.6667,0.0667
224,"Benɛ Yaa Kɔɔyo je jua kɛ ma a, ambulansi ko ba be e he kɛ fo.","Benɛ Yarkoyo je jua kɛ ma a, ambulansi ko ba be e he kɛ fɔ.",0.1875,0.0909
229,"E nɔ jena a, a pue nɔ kɛ ya mɔtsle ɔ ekohu ya to e dlami he blɔ nya.","E nɔ jena a, a pue nɔ́ kɛ ya mɔtsle ɔ, ekohu ya to e dlami he blɔ nya.",0.0,0.0
232,Ma a tsuo wo yana.,Ma a tsuo wo yana.,0.0,0.0
240,Munyu nɛ ɔ he wa ha Mangoasetsɛmɛ se e he nɔ ko be nɛ a ma nyɛ pee.,"Munyu nɛ ɔ he wa ha ma nguaa se tsɛmɛ, se e he nɔ ko be nɛ a ma nyɛ pee.",0.2222,0.0408
246,Okpɔtɛsa gbenɔ nɛ ɔ ye ma a tsuo awi.,O kpɔte sagbe nɔ nɛ ɔ ye ma a tsuo ɔ awi.,0.5556,0.0714
248,Okpɔtɛsa ni tsumi kpakpa nyɛɛ e se niinɛ.,O kpɔtɛ sa ní tsumi kpakpa nyɛɛ e se níine.,0.625,0.0909
249,Mo yo munyutso oti ngɛ demiyo ɔ mi.,Moyo munyu tso o ti ngɛ dimi yo ɔ mi.,0.875,0.037
250,Sɛsɛ munyutso oti ɔ he.,Sɛse munyu tso ɔ o ti ɔ he.,1.2,0.1111
252,Moo kane demiyo nɛ nyɛɛ se nɛ ɔ.,Mɔɔ kane dɛmiyo nɛ nyɛɛ se nɛ ɔ.,0.25,0.125
253,Mo yo munyutso oti ngɛ demiyo ɔ mi nɛ o ngma.,Mo yo munyu tso o ti ngɛ dɛmi yo ɔ mi nɛ o ngma.,0.5455,0.0294
268,Ye huɛmɛ a ngɔ nɛ i naa buajɔ bɔɔ ngɛ ke i ya sukuu.,Ye huɛmɛ a ngɔ nɛ i naa bua jo bɔɔ ngɛ kɛ i ya sukuu.,0.2143,0.0526
278,"Sukuu ɔ, a wo mi kaa sukuubi ɔmɛ tsuo a nya dalɔ nɛ a deɔ ke sukuu plifɛti ɔ.","Sukuu ɔ, a wo mi kaa Sukuu bi ɔmɛ tsuo a nya daloo nɛ a deɔ kɛ sukuu pli feti ɔ.",0.3158,0.0702
283,Nyɛɛ kɛ nyɛ tsu mi bi ɔmɛ nɛ sɛsɛ nyɛ munyutso oti ɔ he.,Nyɛɛ kɛ nyɛ tsumi bi ɔmɛ nɛ sɛse nyɛ munyu tso oti ɔ he.,0.3571,0.0238
286,Pi mlaa nɔ yemi pɛ ji tue bumi.,Pi mlaa nɔ yemi pe ji tue bumi.,0.125,0.0435
288,"Ke o bu o fɔli tue ɔ, o ngɛ tsɔe kaa o ngɛ hɛ kɛ nɔ fɔmi ngɛ a tsɔsemi kɛ a blɔ tsɔɔmi mi.","Ke o buɔ ɔ, fɔli tue ɔ, o ngɛ tsoe kaa o ngɛ he kɛ nɔ fɔmi ngɛ a tsɔsemi kɛ a blɔ tsɔɔmi mi.",0.16,0.0625
303,Nyɛɛ nuu nyɛ he enyɔɔnyɔ nɛ nyɛɛ ngma ni sɛɛmi kaa nɔ nɛ wa na nɛ ɔ.,Nyɛɛ nuu nyɛ he enyɔ nyɔ nɛ nyɛɛ ngma ní sɛmi kaa nɔ nɛ wa na nɛ ɔ.,0.2353,0.0588
