sample_id,reference,hypothesis,wer,cer
3,"Saa ɔfa yi kasa fa asɛnsini, asɛnsini nhyehyɛeɛ ne toonu ho.",ERROR: CosyVoice.inference_zero_shot() got an unexpected keyword argument 'prompt_speech_16k',,
17,Asɛnsini yɛ asɛmfua fa bi a yɛte wɔ ɔkasa mu.,ERROR: CosyVoice.inference_zero_shot() got an unexpected keyword argument 'prompt_speech_16k',,
18,Anom nnyegyeeɛ asɛnsini yɛ anom nnyegyeeɛ a ɛtumi gyina sɛ asɛnsini.,ERROR: CosyVoice.inference_zero_shot() got an unexpected keyword argument 'prompt_speech_16k',,
19,Toonu yɛ ɛnne mu nsakraeɛ a ɛtumi de nsakraeɛ ba asɛmfua bi nteaseɛ mu.,ERROR: CosyVoice.inference_zero_shot() got an unexpected keyword argument 'prompt_speech_16k',,
48,Wɔakyekyɛ asɛmfua biara mu kɔ nsɛnsini ahodoɔ a ɛwɔ mu mu.,ERROR: CosyVoice.inference_zero_shot() got an unexpected keyword argument 'prompt_speech_16k',,
52,Asɛnsini a emu abue yɛ asɛnsini a ɛnne nnyegyeeɛ twa toɔ.,ERROR: CosyVoice.inference_zero_shot() got an unexpected keyword argument 'prompt_speech_16k',,
57,Asɛnsini a emu to yɛ asɛnsini a anom nnyegyeeɛ twa toɔ.,ERROR: CosyVoice.inference_zero_shot() got an unexpected keyword argument 'prompt_speech_16k',,
63,Fa w’ankasa nsɛmfua kyerɛkyerɛ asɛnsini ase.,ERROR: CosyVoice.inference_zero_shot() got an unexpected keyword argument 'prompt_speech_16k',,
66,Kyerɛkyerɛ nsɛnsini ahodoɔ a ɛwɔ Asante Twi kasa mu no mu.,ERROR: CosyVoice.inference_zero_shot() got an unexpected keyword argument 'prompt_speech_16k',,
67,Kyerɛkyerɛ mfasoɔ a ɛwɔ asɛnsini nhyehyɛeɛ so wɔ nsɛmfuayɛ mu no.,ERROR: CosyVoice.inference_zero_shot() got an unexpected keyword argument 'prompt_speech_16k',,
69,Ɔkasa biara wɔ ne nsɛnsini nhyehyɛeɛ.,ERROR: CosyVoice.inference_zero_shot() got an unexpected keyword argument 'prompt_speech_16k',,
84,Yɛ mpɛnsɛmpɛnsɛmu fa Asante Twi nsɛnsini nhyehyɛeɛ no ho.,ERROR: CosyVoice.inference_zero_shot() got an unexpected keyword argument 'prompt_speech_16k',,
88,Ɛne w’afɛfoɔ nhwehwɛ nsɛnsini dodoɔ a ɛwɔ asɛmfua no mu biara mu.,ERROR: CosyVoice.inference_zero_shot() got an unexpected keyword argument 'prompt_speech_16k',,
89,Ɛne w’afɛdoɔ nkyɛ adwene mfa asɛnsini no mu biara nhyehyɛeɛ ho.,ERROR: CosyVoice.inference_zero_shot() got an unexpected keyword argument 'prompt_speech_16k',,
93,"Ɔpɛ berɛ mu no, ntɛtea yeree ne ho yɛɛ adwuma pɛɛ aduane bebree guu hɔ.",ERROR: CosyVoice.inference_zero_shot() got an unexpected keyword argument 'prompt_speech_16k',,
101,Monka mo mmuaeɛ no nkyerɛ adesuafoɔ nkaeɛ no nyinaa.,ERROR: CosyVoice.inference_zero_shot() got an unexpected keyword argument 'prompt_speech_16k',,
107,Ghana ha kasa ahodoɔ no nyinaa mu nsɛmfua nteaseɛ gyina toonu so.,ERROR: CosyVoice.inference_zero_shot() got an unexpected keyword argument 'prompt_speech_16k',,
109,Ɔkasa biara wɔ toonu ahodoɔ.,ERROR: CosyVoice.inference_zero_shot() got an unexpected keyword argument 'prompt_speech_16k',,
121,"Kasem, Ewe, ne deɛ ɛkeka ho.",ERROR: CosyVoice.inference_zero_shot() got an unexpected keyword argument 'prompt_speech_16k',,
123,"Dagbani, ne deɛ ɛkeka ho.",ERROR: CosyVoice.inference_zero_shot() got an unexpected keyword argument 'prompt_speech_16k',,
138,Hwɛ nhwɛsoɔ a ɛdidi soɔ yi.,ERROR: CosyVoice.inference_zero_shot() got an unexpected keyword argument 'prompt_speech_16k',,
143,Ɛho nhwɛsoɔ no bi na ɛdidi soɔ yi.,ERROR: CosyVoice.inference_zero_shot() got an unexpected keyword argument 'prompt_speech_16k',,
148,Yɛtumi de Toonu di dwuma de kyerɛ nsonsonoeɛ a ɛda Akan kasa nkorabata ntam.,ERROR: CosyVoice.inference_zero_shot() got an unexpected keyword argument 'prompt_speech_16k',,
151,Fa w’ankasa nsɛmfua kyerɛkyerɛ toonu ase.,ERROR: CosyVoice.inference_zero_shot() got an unexpected keyword argument 'prompt_speech_16k',,
153,Fa nhwɛsoɔ a ɛfata kyerɛkyerɛ toonu ahodoɔ mu wɔ Asante Twi mu.,ERROR: CosyVoice.inference_zero_shot() got an unexpected keyword argument 'prompt_speech_16k',,
154,Ekuo biara ntoatoa adwen mfa toonu dwumadie ho.,ERROR: CosyVoice.inference_zero_shot() got an unexpected keyword argument 'prompt_speech_16k',,
161,Kyerɛ asɛnsini a toonu ahyɛnsodeɛ no da soɔ ɛwɔ asɛmfua no mu.,ERROR: CosyVoice.inference_zero_shot() got an unexpected keyword argument 'prompt_speech_16k',,
174,Asɛntitire a ɛwɔ abasɛm bi mu no na yɛfrɛ no adwempɔ.,ERROR: CosyVoice.inference_zero_shot() got an unexpected keyword argument 'prompt_speech_16k',,
220,Fa deɛ woatwerɛ no toto deɛ wɔatwerɛ wɔ aseɛ hɔ no ho.,ERROR: CosyVoice.inference_zero_shot() got an unexpected keyword argument 'prompt_speech_16k',,
223,Yei yɛ akenkan a yɛde hwehwɛ asɛntitire a ɛwɔ abasɛm bi mu.,ERROR: CosyVoice.inference_zero_shot() got an unexpected keyword argument 'prompt_speech_16k',,
228,Yɛde saa akenkan yi hwehwɛ mmuaeɛ ma nsɛmmisa pɔtee bi.,ERROR: CosyVoice.inference_zero_shot() got an unexpected keyword argument 'prompt_speech_16k',,
229,Kenkan abasɛm a ɛwɔ aseɛ hɔ no.,ERROR: CosyVoice.inference_zero_shot() got an unexpected keyword argument 'prompt_speech_16k',,
230,Kyerɛ adwempɔ a ɛwɔ abasɛm a ɛwɔ aseɛ hɔ no mu.,ERROR: CosyVoice.inference_zero_shot() got an unexpected keyword argument 'prompt_speech_16k',,
231,Ka adwempɔ a wohunuiɛ no kyerɛ adesuafoɔ nkaeɛ no na fa toto wɔn deɛ ho.,ERROR: CosyVoice.inference_zero_shot() got an unexpected keyword argument 'prompt_speech_16k',,
254,Na meka wɔn a wɔbɔɔ wɔn ho mmɔden pa ara wɔ sɔhwɛ a ɛtwa toɔ no mu no ho.,ERROR: CosyVoice.inference_zero_shot() got an unexpected keyword argument 'prompt_speech_16k',,
257,Ka w’adwempɔ no kyerɛ adesuafoɔ nkaeɛ no.,ERROR: CosyVoice.inference_zero_shot() got an unexpected keyword argument 'prompt_speech_16k',,
265,Na sɛ mpanimfoɔ nso yɛ mfomsoɔ ɛ?,ERROR: CosyVoice.inference_zero_shot() got an unexpected keyword argument 'prompt_speech_16k',,
270,"Nanso, ne nyinaa mu no, setie boa ma yɛnya asomdwoeɛ ne ahobammɔ.",ERROR: CosyVoice.inference_zero_shot() got an unexpected keyword argument 'prompt_speech_16k',,
282,Kenkan abasɛm a ɛwɔ fam hɔ no na bua nsɛmmisa ahodoɔ a ɛtoa soɔ no.,ERROR: CosyVoice.inference_zero_shot() got an unexpected keyword argument 'prompt_speech_16k',,
287,Sukuupanin no gyina hɔ ma tumidie wɔ sukuu no mu.,ERROR: CosyVoice.inference_zero_shot() got an unexpected keyword argument 'prompt_speech_16k',,
301,"Afei, fa toto asekyerɛ a ɛwɔ fam hɔ no ho.",ERROR: CosyVoice.inference_zero_shot() got an unexpected keyword argument 'prompt_speech_16k',,
313,Yei yɛ ɛkwan a wofa so kenkan abasɛm bi sɛdeɛ ɛbɛyɛ a wobɛnya emu nteaseɛ.,ERROR: CosyVoice.inference_zero_shot() got an unexpected keyword argument 'prompt_speech_16k',,
323,Yei yɛ ɛberɛ a ɔkenkanfoɔ no si gyinaeɛ wɔ abasɛm no akenkan akyi.,ERROR: CosyVoice.inference_zero_shot() got an unexpected keyword argument 'prompt_speech_16k',,
326,Ahonnidie yɛ ade titire ɛho hia pa ara wɔ nnipa apɔmuden ne animuonyam mu.,ERROR: CosyVoice.inference_zero_shot() got an unexpected keyword argument 'prompt_speech_16k',,
