sample_id,reference,hypothesis,wer,cer
3,"A wɛlemɛ ŋa wulo la kͻkͻtɛgɛ, kͻkͻtɛgɛ meɛroŋ ane kͻkͻgaale parebammo.","A wɛlme ŋa wullo la ketege, kɛtege meɛroŋ ane kɛgaale parebammo,",0.4545,0.2759
10,Fo na zanne la yelbipaala meɛbo gͻͻloŋ.,"Fo na zanne la yelbipaala meɛbo, beloŋ,",0.1429,0.0938
24,Aŋa na baŋ e la ka sɛgebinyaŋene ba wa tu a sɛgebidaa puori taŋtaŋ lɛ.,"Aŋa na baŋ e la ka sɛgebi-nyaŋne ba wa tu a sɛgebi-daa puori tantaŋ lɛ,",0.1333,0.0364
25,Yeldemannewulli mine la ama naŋ tu a puliŋ.,"yeldemanne wuli mine la ama naŋ tu a puliŋ,",0.25,0.0286
31,O men maŋ soŋ la zannezanna ka o baŋ yelbie tɛgɛ bee pare.,O meŋ maŋ soŋ la zanne zanna ka o baŋ yelbie tɛgɛ bee pare.,0.2308,0.0222
33,"A sazu yeldemannewulli ama poͻ , a yelbi-ŋmaa kaŋa zaa boͻloo are ko la kͻkͻtɛgɛ.","A sazu yelde-manne wuli ama po, a yelbi-ŋmaa kaŋ zaa bo? Lɔɔ are ko la ketɛgɛ!",0.5,0.1406
34,A yelbiri kaŋ zaa wɛle eŋe la kͻkͻtɛgere.,"A yelbiri kanzaa wele eŋɛ la ka tɛgrɛ,",0.75,0.2424
37,A ama maŋ baare ne la sεgebinyaŋaa.,A ama maŋ baare ne la sɛgebe-nyaŋaa.,0.1429,0.0714
45,Yeldemannewulli mine la tu a puliŋ.,"Yeldemanne wuli mine la tu a puliŋ,",0.3333,0.0345
48,De fo meŋa yelbie manne wuli ne kͻkͻtɛgɛ muni.,"de fo meŋɛ yelbie manne wuli ne ka tɛgɛ muni,",0.3333,0.1081
50,Manne bigri kͻkͻtɛgɛ zagere Dagaare poͻ.,manne bigri ka tɛgɛ zagrɛ da gaare po.,1.0,0.1765
51,Manne wuli kͻkͻtɛgɛ meɛroŋ tͻna kyaare yelbie meɛbo.,"Mane wuli ka tɛgɛ meɛroŋ na kyaare yelbie meɛbo,",0.5,0.1364
55,Kͻkͻtɛgɛ sɛgebidaare meŋ taa la kͻkͻgaale aŋa sɛgebinyaŋene naŋ taa lɛ.,"ka tɛgɛ sɛgebi-daare meŋ taa la, ka gaa lɛ aŋa sɛgebi-nyaŋne naŋ taa lɛ.",0.5455,0.1333
57,"Aseŋ, ka yelbiriŋ wa taa sɛgebinyaŋene ayi , o naŋ taa la kͻkͻtɛgɛ ayi bee a gaŋ lɛ.","A seŋ, ka yelbiri wa taa sɛge binyaŋne ayi, o naŋ taa la ketɛge ayi bee a gaŋ lɛ,",0.3529,0.0938
62,Di dɛmɛ kyaare ne kͻkͻtɛgɛ Dagaare poͻ.,dideme kyaare ne ka tɛgɛ da gaare po.,1.0,0.1875
66,E ka fo ne fo tͻ di dɛmɛ kyaare yelbiri kaŋa zaa kͻkͻtɛgɛ semmo.,"e ka fo ne fo dideme kyaare yelbiri kaŋ zaa ka tɛgɛ sɛmmo,",0.5,0.18
