sample_id,reference,hypothesis,wer,cer
5,"Akpa sia ƒo nu tso nu si nukɔkɔ nye, nukɔkɔ ƒe tutuɖo kple gbeɖɔɖɔ ŋu.",akpa sia ƒo nu tso nu si nukɔkɔ nye nukɔkɔ ƒe tutu ɖo,0.2667,0.2407
9,Àgasrɔ̃ nu tso gbeɖɔɖɔ hã ŋu le akpa sia.,àgasrɔ̃ nu tso gbeɖɔɖɔha ŋu,0.6667,0.3226
15,Nukɔkɔ nye nya ƒe akpa si woate ŋu ayɔ le nukeke ɖeka me.,nukɔkɔnye nya ƒe akpa si wòake ŋu ayɔ,0.5385,0.3636
16,Xaxagbeɖiɖi aɖewo tea ŋu nɔa wo ɖokuiwo si nyea nukɔkɔ.,ahagbe ɖiɖiɖiɖi aɖewo tɔa ŋu nya nu kɔkɔe,0.9,0.5111
22,"Nusrɔ̃la, nukɔkɔ nenie le nya agbelimɔ me?",nusrɔ̃la nu kɔkɔe nenee le nɛ,0.8571,0.4242
24,Wonɔa wo ɖokuiwo si wɔa nukɔkɔ.,wonɔa wo ɖokuiwo si,0.3333,0.36
42,Nukɔkɔwo to vovo tso gbegbɔgblɔ ɖeka gbɔ yi bubu gbɔ.,nukɔkɔwo to vo tso gbegbɔɣi bubu ka,0.6,0.3953
45,Nukɔkɔ nɔnuvo nye nukɔkɔ si wu enu kple ablɔɖegbeɖiɖi.,nukɔkɔ nɔ nuvonye nukɔkɔ si wu enu,0.4444,0.3778
48,"Le kpɔɖeŋu siwo va yi me la, míede dzesii be ablɔɖegbeɖiɖiwoe wu nyawo nu.",le kpɔɖeŋu si wova yi me la míable dzesii be ðe,0.5,0.4576
50,Nukɔkɔ manɔnuvo nye nukɔkɔ si wua enu kple xaxagbeɖiɖi.,nukɔkɔ manɔnuvo nye nukɔkɔ si wua nu,0.3333,0.3478
57,Miƒo nu tso nu si nukɔkɔ nye la ŋu le miaƒe gɔmesese nu.,miƒo nu tso nu si nukɔkɔkɔnyela la ŋu,0.4615,0.4186
59,Miɖe nukɔkɔ ƒe ha siwo le Eʋegbe me la me.,miɖe nukɔkɔ ƒe hasiwoasiwo le,0.6,0.375
60,Miɖe nukɔkɔ ƒe tutuɖo ƒe vevinyenye le nyatutuɖo me la me.,miɖe nukɔkɔ ƒe tututu ɖo ƒe vevi menye,0.7273,0.4468
61,Nukɔkɔ ƒe tutuɖo to vovo tso gbegbɔgblɔ ɖeka gbɔ yi bubu gbɔ.,nukɔkɔ ƒe tutuɖo tso vogbɔgblɔ yi bubu ka,0.5,0.3673
64,Ablɔɖegbeɖiɖiwo nye nukɔkɔ ƒe akpa vevitɔ.,ablɔɖe gbeɖinyewo ƒe vevitɔ,0.6667,0.3889
65,Woawoe nye nukɔkɔ la ƒe dzi.,wòawoe nye enye nukɔkɔ,0.8333,0.5455
66,"Ghana gbegbɔgblɔ geɖewo me la, gbeɖɔɖɔ le vevie le dzesidede nukɔkɔ la me.",gã na gbegbɔ geɖewo me la gbeɖɔɖɔ le dzesidenu vie,0.6923,0.3667
73,Na míalé ŋku ɖe wo ŋu ɖekaɖeka.,na mí alé ŋku ɖe wo ŋu,0.4286,0.3333
78,AG - Nukɔkɔ ƒe ha sia nye esi ablɔɖegbeɖiɖi ɖeka si xɔ gbeɖɔɖɔ la tuna ɖo la.,agunukɔkɔ ƒe ha siae nye esi ablɔɖiɖegbeɖi ɖeka si xɔ gbeɖɔɖɔ,0.5,0.2712
82,"Ɣe aɖewo ɣi la, nukɔkɔ siawo tea ŋu nyea nukɔkɔ ɖeka nyawo hã.",ɣeaɖewoɣi la na ŋu kɔkɔ sia ɖɔ nyanyawo,0.8462,0.4583
97,XG – Nukɔkɔ ƒe ha bubue nye esi xaxagbeɖiɖi si xɔ gbeɖɔɖɔ ɖeɖe tuna ɖo la.,wò gu nukɔkɔ ƒe ha bubue nye esi xaxagbeɖi si xɔ ɖɔɖe tuna ɖo la,0.3333,0.2105
