sample_id,reference,hypothesis,wer,cer
3,"A wɛlemɛ ŋa wulo la kͻkͻtɛgɛ, kͻkͻtɛgɛ meɛroŋ ane kͻkͻgaale parebammo.","E wɛlmɛ ŋa wullo la kɛkɛtɛgɛ, kɛkɛtɛgɛ meɛroŋ ane kɛkɛgaale parebammo.",0.5455,0.1552
10,Fo na zanne la yelbipaala meɛbo gͻͻloŋ.,"Fo na za ne la yelbe paala mɛɛbo guloŋ,",0.8571,0.1562
24,Aŋa na baŋ e la ka sɛgebinyaŋene ba wa tu a sɛgebidaa puori taŋtaŋ lɛ.,A ŋa na baŋee la ka sɛgɛ bin-yɛŋene ba wa tuo a sɛgɛ bidaa puori tantaŋ lɛ.,0.6667,0.1091
25,Yeldemannewulli mine la ama naŋ tu a puliŋ.,Yelde-manne wuli mine la ama naŋ tu a puliŋ.,0.25,0.0286
31,O men maŋ soŋ la zannezanna ka o baŋ yelbie tɛgɛ bee pare.,"O meŋ maŋ soŋ la, ‘Zanne-zana’ ka o baŋ yelbie tɛgɛ bee pare.",0.1538,0.0444
33,"A sazu yeldemannewulli ama poͻ , a yelbi-ŋmaa kaŋa zaa boͻloo are ko la kͻkͻtɛgɛ.",A sazu yɔdimane wuli a ma po gandaama doɔ a yelbi-ŋmaa kaŋa zaabolo are ko la keketɛgɛ.,0.7143,0.3125
34,A yelbiri kaŋ zaa wɛle eŋe la kͻkͻtɛgere.,Yelbiri kaŋ zaa wele eŋɛ la kɛkɛtɛgre.,0.5,0.1818
37,A ama maŋ baare ne la sεgebinyaŋaa.,"Aa ma maŋ baare ne la, sigi binyaŋaa.",0.5714,0.0714
45,Yeldemannewulli mine la tu a puliŋ.,Yɛldemanewooli mine la tu a poliŋ.,0.3333,0.1724
48,De fo meŋa yelbie manne wuli ne kͻkͻtɛgɛ muni.,"De fo meŋaa yelbie manne wuli ne, kyɛ ketɛgɛ muni.",0.3333,0.1081
50,Manne bigri kͻkͻtɛgɛ zagere Dagaare poͻ.,Mɛnne bigri ka ko tɛgɛ zagre da gaare po.,1.3333,0.1471
51,Manne wuli kͻkͻtɛgɛ meɛroŋ tͻna kyaare yelbie meɛbo.,Mɛne wuli ka kitɛgɛ meɛroŋ te naŋ kyaare yelbie meɛbo.,0.625,0.1364
55,Kͻkͻtɛgɛ sɛgebidaare meŋ taa la kͻkͻgaale aŋa sɛgebinyaŋene naŋ taa lɛ.,Hakutɛgɛ sɛge bidaare meŋ taa la kokogaale aŋa sɛge binyɛŋene naŋ taa lɛ.,0.5455,0.1
57,"Aseŋ, ka yelbiriŋ wa taa sɛgebinyaŋene ayi , o naŋ taa la kͻkͻtɛgɛ ayi bee a gaŋ lɛ.","Lɛ seŋ ka yelbureŋ wa taa sɛgbinyɛŋene ayi, yɛ kpɔ̃ waa taa sɛgbinyɛŋene ayi bee a gaŋ lɛ.",0.5294,0.375
62,Di dɛmɛ kyaare ne kͻkͻtɛgɛ Dagaare poͻ.,Zidɛlɛ kyaare de ka kɛtɛgɛ dagare poɔ.,1.0,0.2188
66,E ka fo ne fo tͻ di dɛmɛ kyaare yelbiri kaŋa zaa kͻkͻtɛgɛ semmo.,"Kyɛ ka fo ne fo te dii dɛmɛ kyaare yelbiri, kaŋa zaa ka kɛkɛ seŋ moɔ.”",0.5,0.22
67,Vɛŋ ka fo ne fo tͻ di dɛmɛ kyaare ne a yelbiri kaŋa zaa kͻkͻtɛgɛ meɛroŋ.,Lɛŋ ka fo ne fo te di dɛmɛ kyaare ne a yelbiri kaŋ zaa teke tɛgɛ meɛroŋ.,0.3125,0.1071
68,A yɛ gbuli na manne la a yɛlɛ a karendie poͻ.,A yɛ gbilii na manne la a yɛlɛ a karendie poɔ.,0.1818,0.0882
69,Dɛmɛ diibu ane peɛroo na be la be.,Yɛmɛ diibu ane peɛroo na be la be.,0.125,0.0385
70,Soori ane Nyeraa da waa la zͻmenne.,Soori ane nyeɛraa dawala zemenne.,0.7143,0.1071
71,"Ama, ba yel-erre da waa la tɛɛtɛɛ.","Hamaa, ba yɛlɛɛre da waa la tɛɛtɛɛ.",0.2857,0.2
79,Yɛ di dɛmɛ kyaare ne a nͻ-iri.,Yɛ di dɛmɛ kyaare ne a neere.,0.1429,0.1364
89,Ghana kͻkͻɛ mine yeldemannewulli la a ama naŋ tu a puliŋ.,Gana kɛkɛ mine yeldemanne wulli la ama naŋ tuo a puliŋ.,0.5455,0.1087
96,Kͻkͻgaale e la yelnimizeɛ kͻkͻre poͻ yi onaŋ taa tontɛɛtɛɛ kyaare pare bammo.,Hɔgaa leɛ la a yeli nimizeɛ kɔkɔre poɔ yi o naŋ taa tontɛɛtɛɛ kyaare parebaŋ.,0.8462,0.2031
98,"Ama la yelbie bammo, kͻkͻre merɛ ane kͻkͻkpɛlɛ.","A ma la yelbie bamo, kekere merɛ ane kekekpɛlɛ.",0.625,0.1316
100,Te maŋ de la yelbie kɔkɔgaale wɛle ne yelbie pare tɛɛtɛɛ.,Te maŋ de la yelbie kɔkɔgaale wɛle ne yelbie pare tɛɛtɛɛ.,0.0,0.0
103,Kaa a ama naŋ tu.,ka ama naŋ tu,0.4,0.1667
106,Kɔkɔre merɛ kɔkɔgaale la maŋ wa ne tɛɛtɛɛ a kɔkɔre yelibu poɔ.,Kɔkɔremɛrɛ kɔkɔgaale la maŋ wa ne tɛɛtɛɛ a kɔkɔre yelibu poɔ.,0.1667,0.02
110,Kɔkɔgaale meŋ na baŋ wuli la tɛɛtɛɛloŋ kɔkɔkpɛlɛ naŋ be kɔkɔyeni poɔ.,Kɔkɔgaale meŋ na baŋ wuli la tɛɛtɛɛloŋ kɔkɔkpɛlɛ naŋ be kɔkɔyeni poɔ,0.0,0.0
111,Kɔkɔgaale na baŋ wɛle la Dagaare ane Birfor yelbie mine.,Pɔkɔgaale na baŋ wɛle la Dagare ane Befɔ yelbie mine.,0.3,0.1304
115,De fo meŋa yelbie manne wuli ne kͻkͻgaale pare bammo.,De fo meŋaa yelbie mane wuli nekikaalɛɛ pare bamo.,0.5,0.186
118,Yɛ di dɛmɛ kyaare kͻkͻgaale a yɛ gbulo poͻ.,Yɛ de dɛmɛ kyaare ka ko gaale a yɛ gbulo po.,0.5556,0.1176
119,Yɛ wuli yɛ karembitaaba yɛ nͻiraa.,"Yɛ wuli yɛ karembetaaba yɛ yiiraa,",0.3333,0.1071
120,"A yɛ gbulo poͻ, kyɛlle yelbie mine boͻloo Dagaare poͻ kyɛ e a ama naŋ tu.",A yɛ gbulo poɔ kyɛlle yelbie mine buluu dagare poɔ kyɛ e a ama naŋ toŋ.,0.3125,0.1607
122,Wuli a yelbie na yɛ naŋ kaa-iri kͻkͻtɛgɛ.,Wuli a yɛlbie na yɛ naŋ kaa-iri keke-tɛgɛ.,0.25,0.0938
130,A foͻlaa yeli la yɛlɛ kyaare ne yelbulo kaa-iribu yelyagesɛgeraa bee dɛmɛ diibu poͻ.,"Fo la yeli la yɛlɛ kyaare ne yelbuluu kaa-erebu yelɛjyɛ sɛgraa, itaali bee dɛmɛ diibu poɔ.",0.5714,0.2754
131,Fo na zanne la maa-eŋɛ ane kanne gaa tͻͻre kannoo.,Ko na zanne la maa eŋɛ ane kanne gaa teere kannoo.”,0.4,0.0769
136,Yelbuli la a yelyagesɛgeraa yelnyͻgeraa.,Yɛobuli la a yɛ meɛ gyisɛgraa yelnyegraa.,1.0,0.3143
138,Kannoo na baŋ waa la maa-eŋɛ bee kanne gaa tͻͻre.,Kanoo na baŋ waa la maa eŋɛ bee ka na gaa teere.,0.6,0.1316
163,O meŋ la kyaare la kannoo te naŋ de yɛmbulo eŋ.,O meŋ la kyaare la kannoo te naŋ de yɛmbuluu eŋ.,0.0909,0.0556
166,A maŋ soŋ la ka yeli pare bammo kyaane.,A maŋ soŋ la ka a yeli pagre bammo kyaane.,0.2222,0.0667
171,Yɛ zanne la yɛlɛ kyaare werewere kannoo ane va-funnoo a yuoni yeni poͻ.,"Yɛ zaaŋ la la yɛlɛ kyaare, wɛwɛ kannoo ane bafonnoo ayoɔ ne yeni poɔ.",0.5385,0.2807
177,O e la kannoo naŋ wulo yelbulo boͻbo yelyagesɛgeraa poͻ.,"O e la kannoo naŋ wullo o yelbuluu bubo, yeli a gyisɛgraa poɔ.",0.8,0.2391
182,"A kyɛ,fo maŋ kaa la a sɛgere fileu ana kyo-iri yelbi-bulo.","A kyɛ, fo maŋ kaa la a sɛgre filiwɛ ana kyɔ ire yelbibulo.",0.5455,0.1364
185,Kanne a yelyagesɛgeraa ŋa naŋ tu a puliŋ.,ane a yeleɛ gye sɛgraa ŋaa naŋ tu a poliŋ.,0.75,0.2424
186,Kaa iri a yelbulo a yelyagesɛgeraa ŋa naŋ tu a puliŋ poͻ.,ka a iri a yelbuluu a yele gyisɛgraa ŋa naŋ tu a puliŋ poɔ.,0.5,0.1778
187,De a yelbulo na fo naŋ nyɛ wuli fo karembitaa.,di a yelbuluu na fo naŋ nyɛ wuli fo karembitaa.,0.2,0.0833
188,N da nyɛ la yuomo anaare kyɛ ka n ma kpi.,N da nyɛ la yuomo anaare kyɛ ka N ma kpi.,0.0,0.0
191,N baabo yɛlɛ da be la n dͻgereba nuuriŋ.,N baaboo yɛlɛ da be la N degre ba nuuriŋ.,0.3333,0.0968
202,N da binne la libie fẽẽfẽẽ a tõͻ gaa sakuuri.,N da benne la libie fẽẽ fẽẽ a toŋ gaa sakuuri.,0.4,0.0857
208,A yɛ gbulo poͻ yɛ di dɛmɛ a kaairi a yelbulo a dɛmmo ŋa naŋ tu a puliŋ.,"A yɛ gbulpo yɛ, de dɛmɛ a kaare a yelbulo a de moŋa naŋ tu o a puliŋ.",0.3889,0.1509
209,De a yelbulo fo naŋ kaairi wuli karendie biiri zaa.,De a yelbulo fo naŋ kaere wuli karendie biiri zaa.,0.1,0.0732
218,"Ama, gbɛɛ yaga noͻre sagebo maŋ soŋ la ka nyͻvore yɛlɛ tori.","Ama, gbɛɛ yaga nore sagebo maŋ soŋ la ka nyɔvore yɛlɛ tori.",0.1667,0.0426
221,O maŋ soŋ la ka sagediibu baa.,O maŋ soŋ la ka sage diibu ba.,0.4286,0.0435
223,"Yɛ zeŋ gbulo a kuri dɛmmo dẽɛ wuli kyaare vũũ yɛlɛ, nansaalaa soͻloŋ bee zimaale tͻna ka o yine a sazu deme ŋa.",Yɛ zeŋ gbulo a kuri dɛmmo deŋ wuli kyaare vũũ yɛlɛ. Nansaala soloŋ bee zimaale te na ka o yi ne a sazu deme ŋa.,0.3043,0.0575
224,Vɛŋ ka a karembiiri di dɛmɛ wuli a yelzu.,Vɛŋ ka a karembiiri di dɛmɛ wuli a yeli zu.,0.2222,0.0312
226,Kanne a yelyagesɛgeraa ŋa velaa kyɛ iri a soorebie naŋ tu nͻɛ.,"Kana a yɛlɛ gye sɛgraa, ŋa velaa kyɛ iri a sori be naŋ tuu ne yɛ.",0.75,0.26
228,De bone na fo naŋ nyɛ a dɛmmo poͻ wuli a gbulo mine.,"Dɛ bonne na fo naŋ nyɛ a dɛmmo pouli, a gbulo mine.",0.3077,0.1026
229,De va-funnoo gͻͻloŋ wuli yelsoŋ kaŋa a sɛgerɛ naŋ teɛre ka a karemazuzeɛ taa.,De va funnoo guluŋ wuli yelsoŋ kaŋ a sɛgrɛ naŋ teɛre ka a karema zu zie ta.,0.6429,0.129
230,A karemazuzeε la a sakuuri faŋa zaa.,Karema zu zee la a sakuri faŋ zaa.,0.7143,0.1379
256,A sɛgesɛgrɛ maŋ de la duoro eŋ a sɛgre poɔ.,Sɛge sɛgrɛ maŋ de la duoro eŋ a sɛgre poɔ.,0.2,0.0303
260,O e la sobiri karembiiri naŋ maŋ nyore bamenne eŋ kannoo a naŋ baŋ o pare.,"Oo e la, sobiri karembiiri naŋ maŋ nyore bamenne eŋ kannoo a naŋ baŋ o pare.",0.0625,0.0172
269,"A kannekanna maŋ wuli la o teɛroŋ, tere o nͻ-iraa a kannoo ne kanne baaroo puoriŋ.",A kanne kanna maŋ wuli la o teɛroŋ. Tere o niiraa a kannoo ne kanne baaroo puoriŋ,0.1875,0.0156
271,Nensaalaa lããfeeloŋ ane gyeremɛ yɛlɛ do are la zie maale ka o e forfori.,Nensaala laŋ feɛloŋ ane gyeremɛ yɛlɛ do a la zie maale ka o e fofori.,0.3571,0.1207
278,A baaloŋ ama koora la noba yaga.,A baaloŋ ama koɔrɔ la noba yaga.,0.1429,0.08
284,Pãã wuli fo teɛroŋ kyaare ne lɛ anaŋ seŋ ka a sɛgebo wuobu yɛlɛ da tu.,"Pãã wuli fo teɛroŋ kyaare nedile, anaŋ seŋ ka a sɛgɛ bawuobu yɛllɛ ta to.",0.4375,0.1481
288,Gyeremɛ ba waa bone fo naŋ na fere nyɛ.,"Hɛremaa, ba waa bonne fo naŋ na fo nyɛ.",0.3333,0.3
291,Teɛre ka fo be la karendie poͻ ka neɛzaa puoro o tͻ ne nimimaaroŋ ane neeloŋ.,Teɛre ka fo be la karendie poŋ ka neɛzaa puoro o tenne nimimaaroŋ ane neɛloŋ.,0.25,0.0656
298,Boŋ yeli la ka a yelzu yeli kyaare ne dɛmmo?,Boŋ yeli la ka a Yeezu yelkyaare ne dɛmmo?,0.3,0.0588
299,Sɛge a yɛlɛ yelzu naŋ be dabegere boŋyeni ane anaare.,Sɛgɛ a yɛlɛ yelzu naŋ be dabagere bonyeni ane anaare.,0.3,0.0698
300,Kyoͻre a sazu dɛmmo ŋa eŋ yɛlɛ anaare poͻ.,Kyoore la sazu dɛmo ŋa N yɛlɛ anaare ko.,0.5556,0.2121
304,Boŋ tɛɛtɛɛloŋ la be kanne welweli ane peɛroo kpakyagaŋ?,Boŋ teɛteɛloŋ la be kannee wewoleɛ ane peɛroo kpakyagaŋ?,0.3333,0.1522
306,De fomeŋɛ yelbie wɛle ne maa-eŋɛ kannoo ane kanne gaa tͻͻre kannoo tɛɛtɛɛloŋ.,"De fo meŋɛ yelbie wɛle, nemaa eŋɛ kannoo ane kanne gaa tere kannoo tɛɛtɛɛloŋ.",0.3846,0.0317
314,Yelbipeelaa la yelbiriŋmaa te naŋ de eŋ yelbiri niŋe bee puori bee sͻga.,Yelpeelaa la yelbiri ŋmaa te naŋ de eŋ yelbiri niŋe bee puori bee sega.”,0.3077,0.0508
316,Tagemarre la ka te maŋ de tage yelbie lantaa yεlε poͻ ka o taa tɛgɛ.,O na mare la ka fɛ ma de ka a yelbie lantaa yɛlɛ puu ka o taa tɛgɛ.,0.6,0.283
317,Te maŋ tu la a yelbipeelε zie kyε maale yelbipaala.,Te maŋ tu la a yelbe peele zie kyɛ maale yelbe paala.,0.5,0.0976
323,A yelbipeelε ama la puori yelbipeelaa ane niŋe yelbipeelaa.,A yelbipelaa ma la puori yelbipelaa ane niŋeyelbipelaa.,0.5556,0.08
326,Puori yelbipeelaa maŋ wa la kyε ko a yelbiri meŋa.,Puori yelbipelaa maŋ wa la kyɛ ko a yelbiri meŋaa.,0.3,0.075
328,Niŋe yelbipeelaa la ona naŋ tu yelbiri.,Biberaa la a onaŋ naŋ tu yelbiri.,0.5714,0.375
329,"Niŋe –puori yelbipeelaa; a ŋaa,yelbipeelε ayi maŋ gyilli la a yelbinyaga.","Neŋɔmɔ puori yelbi-pie la, aŋa a yelbi-pie la ayi maŋ gyilli la a yelbinyaga.",0.5455,0.1356
331,Ghana kͻkͻɛ yaga zaa ba taa a niŋe-puori yelbipeelaa ŋa.,Gana kɛkɛɛ yaga zaa ba taa a niŋe puori yelbi-pie la a ŋa.,0.7,0.0889
336,Yelbimaale kpɛglɛ; a kpɛglɛ ama la maŋ maale yelbipaalaa ka o pare e paalaa meŋ.,"Yelmi-maalee kpɛɛlɛ, a kpɛɛlɛ ama la a maŋ maalee yelmi-paalaa ka a o pare e paalaa meŋ.",0.4667,0.125
339,A kpɛglɛ ŋa maŋ ŋmaa la yelbipaalaa yi ne a yelbinyaga poɔ.,A kpɛgele ŋa maŋ ŋmaa la yelbe paalaa yi ne a yelbe nyaga poɔ.,0.4167,0.0851
342,"A ŋaa eŋ o maŋ kyilli la a yelbiri tontonne yoŋ, kyɛ o ba kyille a yelbiri zage.","Eŋaa eŋ O maŋ kyilli la a yelbiri tontonne yoŋ, kyɛ O ba kyille a yelbiri zage.",0.1111,0.0164
343,"Yelbileɛmaale kpɛglɛ ba maŋ kyilli a yelbiri pare zaa, azuiŋ o ba ŋmaara yelbipaala.","Yelbiliya maale kpɛge lɛ, ba maŋ kyille a yelbiri parezaa, azuiŋ o baŋ ŋmaaraa yelbi-paala.",0.6429,0.1014
348,"A yelbiri Saa, pare ba kyilli.","A yɛlbiri saa, pare bakyilli.",0.5,0.0435
349,Saamine e la saa yaga.,Saa mine e la Saa yaga.,0.4,0.0
350,Yε zeŋ bayiri a di dεmε kyaareyelbipeelε parεε zaa yε naŋ baŋ.,Yɛ zeŋ ba yiri a de demɛ kyaare yelbi-peele paree zaa yɛ naŋ baŋ.,0.75,0.16
353,Kͻkͻre zaa taa la lεnεε yelbipeelε naŋ tona.,"Hɔŋ ka, zaa taa la lɛ ne yelbi-peele naŋ tona.",0.625,0.2778
354,A yelbipeelε tontonne mine la ama naŋ tu.,A yelbi-peɛlɛ tontonne mine la a ma naŋ tu.,0.375,0.0606
355,A maŋ maale la yelbipaala yi yelbinyaga poͻ.,Hɛ maŋ maale la yelbi-paala yi yelbinyaga poɔ.,0.25,0.0833
357,A maŋ kyilli la yelbiri zagre; aseŋ.,"E maŋ kyili la yelbiri zagre, a seŋ.",0.5714,0.0714
359,Yelbipeelε maŋ leεre eroŋ wagre kaŋa eŋ wagre yuo poͻ.,yɛlbepeɛlɛ maŋ leɛrɛ eroŋ wagre kaŋ eŋ wagre yuo poɔ.,0.4,0.1818
361,A maŋ kyilli la yelbiri eŋ yageroŋ.,ba maŋ kyilli la yelbiri eŋyageroŋ.,0.4286,0.0357
