sample_id,reference,hypothesis,wer,cer
2,"Yaɣili ŋɔ piini wuhiri bachjilli, bachijilli biɛhigu ni yee baŋsim.",Yaɣili ŋɔ pii ni wuhiri ba jiliba chijili biɛhigu ni ye baŋsim.,0.6,0.0893
7,A ni mali baŋsim zaŋ jɛndi yee zaŋ nam Dagbani bachi pala.,A ni mali baŋsim zaŋ Jen di yɛli zaŋ namda gba ni bachipala.,0.5833,0.087
10,Bachijilli nyɛla bachi yaɣili di ni ni tooi boli shɛli.,Bashijilin nyɛla bachi yaɣili dini ni tooi boli shɛli.,0.3,0.0667
11,Bachijilli konsɔnanti nyɛla konsɔnanti shɛli din nahiŋgban ŋmani bachijilli.,Bachijilli konsonanti nyɛla konsonanti shɛli din nahiŋgbaŋ ma ni bachijilli.,0.5556,0.0448
12,Yee nyɛla kukoli taɣiri shɛli din ni tooi tahi bachi gbunni taɣibu na.,Yi yi nyɛla kukoli taɣiri shɛli din ni tooi tahi bachi gbunni taɣibu na.,0.1538,0.0526
14,Di ni tooi lahi nyɛ yaɣ’ shɛli ti vuhim ni lura bachi bolibu.,Di yi ni tooi lahi nya yaɣ' shɛli ti vuhim ni lura bachi bolibu.,0.1538,0.0638
16,"Dinzuɣu, duni malila bachijila ayi.",Dinzuɣu Duni malila bachijila ayi.,0.0,0.0
20,Dimbɔŋɔ tooi niŋdimi di yi niŋ ka vaawuli bi doli konsɔnantinima maa.,Dimbɔŋɔ to yi niŋdimi di yili niŋ ka vaawuli bi doli konsonantinima maa.,0.3333,0.0702
23,Ŋa shɛhira shɛŋa n-do gbunni ŋɔ.,Ŋuna shɛhira shɛŋa n-do gbunni ŋɔ.,0.1667,0.08
29,Di lahi sɔŋdi ban bɔhindi ka bɛ baŋdi yɛltɔɣa bachinima gbunni.,Di lahi sɔɣinda bambɔhindi ka ba baŋdi yɛlitɔɣa bachinima gbunni.,0.4545,0.1346
35,Bachi yini kam pirimi n-doli ŋa bachijil’ shɛŋa ŋa ni mali.,Bachi yiini kam pirimi n-doliŋa bachijil’ shɛŋa ŋa ni mali.,0.2727,0.0217
36,Gahana zuliyanima bachijila balibu waliya.,Gahina zuliya nɛma bɛ chijila balibu waliya.,1.0,0.0811
40,Bachijil’ shɛli din ka nyaaŋa nyɛla bachijil’ shɛli din naai ni vaawuli.,Bachige shɛli din ka nyaaŋa nyɛla bachige shɛli din naai ni vaawuli.,0.1667,0.1034
44,Bachijil’ shɛli din mali nyaaŋa nyɛla bachi shɛli din naari ni konsɔnanti.,Bachi jil shɛli din mali nyaaŋa nyɛla bachi shɛli din naari ni konsonante.,0.25,0.0328
47,"Guruni, Kpunkpaansili, Dagaari, ni ŋan pahi.",Guru ni kpuŋkpaansili dagaari ni ŋan pahi.,0.5,0.0286
48,Shɛhira shɛŋa n-do gbunni ŋɔ.,Ni bihi a shɛŋa n di gu n-niŋ a.,1.6,0.3478
49,Zaŋmi a maŋmaŋa bachinima m-buɣisi binshɛli din nyɛ bachijilli.,Zaŋmi amaŋmaŋa bachinima m-buɣisi binshɛli din nyɛ bachijinima.,0.3333,0.0755
51,Wuhimi bachijila bal’ shɛŋa ŋan be Dagbani ni.,Wuhimi bachijila bal' shɛŋa n-gam be dagbani ni.,0.125,0.0811
72,A mini a kpee kahigimi bachijila biɛhigu ŋan bachi’ shɛŋa di ni nam maa.,A mini a kpee ka higimi bachijila biɛhigu ŋan bachi shɛŋa di ni na maa.,0.2143,0.0175
74,Sakanooŋa mini salinsaa n-da nyɛ zonima viɛnyɛliŋga.,Sakano ŋɔ mini salinsaa n-daa nyɛ zonima viɛnyɛlinga.,0.5714,0.0909
93,Yee taɣirimi yɛltɔɣili zaa puuni.,Yi taɣirimi yɛltɔɣili zaa puuni.,0.2,0.0714
94,Zuliya balbu mali yee bal’ kɔŋkɔba.,Zuliya balibu mali ye bali kɔŋkoba.,0.6667,0.1429
101,"Zimbasili, Aŋkarinsili, Kasina, Dagbani, Ayigbesili, ŋan pahi.",Zimba Sili Aŋkarinsili Kasina Dagbani Ayigbe Sili ŋa m-pahi.,0.8571,0.02
