sample_id,reference,hypothesis,wer,cer
7,"Saa ɔfa yi kasa fa asɛnsin, asɛnsin nhyehyɛe ne toonu ho.",saa fa yi kasa fa asinsin asɛnsi nhyehyɛɛ ne too no hu,0.6364,0.1333
19,Asɛnsin yɛ asɛmfua fa bi a yɛte wɔ kasa mu.,asɛnsin yɛ asemfoɔ fa bi a yɛte hɔ kasa mu,0.2,0.1212
20,Anom (Kɔnsonant) nnyigyei yɛ anom nnyigyei a etumi gyina sɛ asɛnsin.,ɔnom consunantnyi gyeye anom nigyeeɛ a ɛtumi gyina sɛ asɛnsii,0.6364,0.2364
21,Toonu yɛ ɛnne mu nsakrae a etumi de nsakrae ba asɛmfua ntease mu.,tuu no yɛ anim nsakrae ɛtumi de nsakraba asemfuo ntease mu,0.6923,0.2308
51,Wɔakyekyɛ asɛmfua biara mu kɔ nsɛnsin ahorow a ɛwɔ mu mu.,wɔakyekye asemfoɔ biara mu konsansin ahorow a ɛwɔ mu mu,0.3636,0.1304
55,Asɛnsin a emu abue yɛ asɛnsin a ɛnne nnyigyei twa to.,asɛnsi na a emu abuei a asen sina a ɛne nnyigyee twa to,0.7273,0.1667
60,Asɛnsin a emu to yɛ asɛnsin a anom nnyigyei twa to.,asɛnsia a emu to yɛ asensinaa anom nnyigye twato,0.5455,0.1
65,Fa w’ankasa nsɛmfua kyerɛkyerɛ asɛnsin ase.,fa wɔn ankasa nsemfoɔ akyerɛkyerɛ asinsin ase,0.8333,0.1667
67,Kyerɛkyerɛ nsɛnsin ahorow a ɛwɔ Akuapem Twi kasa mu no mu.,kyerɛkyerɛ nsensin ahorowa a ɛwɔ akuapintwikasa mu no mu,0.4545,0.0851
68,Kyerɛkyerɛ mfaso a ɛwɔ asɛnsin nhyehyɛe ho nimdeɛ so wɔ nsɛmfuayɛ mu.,kyerɛkyerɛ mfasom a ɛwɔ asinsi nhyehyɛ ho nimde so wɔ wo nsamfoaeɛ mu,0.5,0.1754
69,Ɛne wo mfɛfo nkyɛ wo mmuae no.,a neɛ wo mfafunkyɛ wo mmuae no,0.5714,0.1739
70,Ɔkasa biara wɔ ne nsɛnsin nhyehyɛe.,wɔkasa biara wɔ ne nsensin nhyehyɛeɛ,0.5,0.1034
73,Asɛnsin fa a ɛho hia pa ara yɛ ɛnne nnyigyei.,asɛsifoɔ a ɛho hia pa ara yɛ ani nyegyeɛ yi,0.5,0.3143
84,Yɛ mpɛnsɛmpɛnsɛmu fa Akuapem Twi nsɛnsin nhyehyɛe no ho.,yɛmpensɛmpensiɛ mu fa akuapom twii nseensin nhyehyɛɛ no ho,0.6667,0.1702
