sample_id,reference,hypothesis,wer,cer
5,"Akpa sia ƒo nu tso nu si nukɔkɔ nye, nukɔkɔ ƒe tutuɖo kple gbeɖɔɖɔ ŋu.",akpa sia fo ŋutsonu si nukɔkɔnye nukɔkɔ ƒe tutuɖo kple gbeɖɔɖɔ ŋu,0.4,0.037
9,Àgasrɔ̃ nu tso gbeɖɔɖɔ hã ŋu le akpa sia.,agasrɔ̃ nu tso gbeɖɔɖɔ hã ŋu le akpa sia,0.1111,0.0323
15,Nukɔkɔ nye nya ƒe akpa si woate ŋu ayɔ le nukeke ɖeka me.,nukɔkɔnye nyaa ƒe akpa si woate ŋu ayɔ le nukeke ɖeka me,0.2308,0.0227
16,Xaxagbeɖiɖi aɖewo tea ŋu nɔa wo ɖokuiwo si nyea nukɔkɔ.,eya xa gbeɖiɖi aɖewo ti eŋu nɔa wo ɖokuiwo si nya nukɔkɔ,0.6,0.1111
22,"Nusrɔ̃la, nukɔkɔ nenie le nya agbelimɔ me?",nusrɔ̃la—nukɔkɔ nenie le nye agbelimɔ me,0.4286,0.0303
24,Wonɔa wo ɖokuiwo si wɔa nukɔkɔ.,wonɔ awo ɖokuiwo si wɔnu kɔkɔ,0.6667,0.04
42,Nukɔkɔwo to vovo tso gbegbɔgblɔ ɖeka gbɔ yi bubu gbɔ.,nukɔkɔwo to vovo tso gbegbɔgblɔ ɖeka gbɔ yi bubu gbɔ,0.0,0.0
45,Nukɔkɔ nɔnuvo nye nukɔkɔ si wu enu kple ablɔɖegbeɖiɖi.,nukɔkɔ nɔnuvo nye nukɔkɔ si wu enu kple ablɔɖegbeɖiɖi,0.0,0.0
48,"Le kpɔɖeŋu siwo va yi me la, míede dzesii be ablɔɖegbeɖiɖiwoe wu nyawo nu.",le kpɔɖeŋu siwo va yi me la míede dzesii be ablɔɖegbeɖiɖiwoe wu nyawo nu,0.0,0.0
50,Nukɔkɔ manɔnuvo nye nukɔkɔ si wua enu kple xaxagbeɖiɖi.,nukɔkɔ manɔnuvɔ nye nukɔkɔ si wua enu kple xaxagbeɖiɖi,0.1111,0.0217
57,Miƒo nu tso nu si nukɔkɔ nye la ŋu le miaƒe gɔmesese nu.,mifo nu tso nu si nu kɔkɔnye la ŋu le míaƒe gɔme sesẽ nu,0.4615,0.0698
